date,time,exit_time,mode,trade_id,type,signal,symbol,entry,exit,qty,gross_pnl,charges,net_pnl,pnl,buy_charges,sell_charges,buy_turnover,sell_turnover,brokerage,stt,transaction,gst,stamp,sebi,reason
2026-05-21,10:07:08,10:28:31,PAPER,OK20260521100708,HALF,PE,NIFTY26MAY2623750PE,173.75,159.6,455,-6438.250000000003,222.24995323725,-6660.499953237253,-6660.499953237253,59.200373331250006,163.049579906,79056.25,72618.0,40.0,108.927,53.8746936,16.924746213,2.3716875,0.15167425,EARLY EXIT: premium failed 8.1% after 1282s
2026-05-21,10:35:03,10:41:22,PAPER,OK20260521103503,HALF,PE,NIFTY26MAY2623750PE,176.25,183.75,455,3412.5,243.8631121,3168.6368879,3168.6368879,59.71260891875,184.15050318125,80193.75,83606.25,40.0,125.409375,58.181760000000004,17.7022008,2.4058125,0.1638,SL HIT
2026-05-21,10:54:06,10:56:37,PAPER,OK20260521105406,HALF,PE,NIFTY26MAY2623700PE,164.1,170.0,455,2684.5000000000027,229.35966391350001,2455.140336086503,2455.140336086503,57.22314396350001,172.13651995,74665.5,77350.0,40.0,116.025,53.9959056,16.946625798,2.239965,0.1520155,SL HIT
2026-05-21,12:17:12,12:19:45,PAPER,OK20260521121712,HALF,PE,NIFTY26MAY2623700PE,174.9,183.25,455,3799.2499999999973,243.14963276525,3556.1003672347474,3556.1003672347474,59.43600170150001,183.71363106375,79579.5,83378.75,40.0,125.06812500000001,57.8827704,17.648231157,2.387385,0.16295825,SL HIT
