date,time,exit_time,mode,trade_id,type,signal,symbol,entry,exit,qty,gross_pnl,charges,net_pnl,pnl,buy_charges,sell_charges,buy_turnover,sell_turnover,brokerage,stt,transaction,gst,stamp,sebi,reason
2026-05-25,09:48:44,10:00:12,PAPER,OK20260525094844,HALF,PE,NIFTY26MAY2623900PE,85.7,78.5,585,-4212.000000000002,157.962175069,-4369.962175069002,-4369.962175069002,46.1764176365,111.78575743250002,50134.5,45922.5,40.0,68.88375,34.1194464,13.358790612,1.504035,0.096057,EARLY EXIT: premium failed 8.4% after 687s
2026-05-25,10:36:04,10:40:49,PAPER,OK20260525103604,HALF,CE,NIFTY26MAY2624000CE,97.05,100.65,520,1872.0000000000045,170.431248868,1701.5687511320045,1701.5687511320045,46.325697721999994,124.10555114600001,50466.0,52338.0,40.0,78.507,36.5159808,13.791381264,1.51398,0.10280399999999999,SL HIT
2026-05-25,10:45:57,10:58:54,PAPER,OK20260525104557,HALF,CE,NIFTY26MAY2624000CE,98.05,89.95,520,-4211.999999999997,159.98076992,-4371.980769919997,-4371.980769919997,46.559862562,113.420907358,50986.0,46774.0,40.0,70.161,34.724351999999996,13.46798016,1.52958,0.09775999999999999,EARLY EXIT: premium failed 8.3% after 776s
2026-05-25,11:13:08,11:21:29,PAPER,OK20260525111308,HALF,CE,NIFTY26MAY2624000CE,95.45,87.55,585,-4621.500000000004,170.69730893500002,-4792.197308935004,-4792.197308935004,48.74491322525,121.95239570975001,55838.25,51216.75,40.0,76.825125,38.025936,14.063938380000002,1.6751475,0.107055,EARLY EXIT: premium failed 8.3% after 501s
2026-05-25,13:28:25,13:42:03,PAPER,OK20260525132825,HALF,CE,NIFTY26MAY2624000CE,85.8,77.45,585,-4884.749999999996,156.80896389625002,-5041.5589638962465,-5041.5589638962465,46.202761181,110.60620271525,50193.0,45308.25,40.0,67.962375,33.922044,13.323158145,1.50579,0.09550125,EARLY EXIT: premium failed 9.7% after 817s
2026-05-25,13:45:20,13:47:56,PAPER,OK20260525134520,HALF,PE,NIFTY26MAY2623950PE,79.25,72.85,650,-4160.000000000004,161.328765205,-4321.328765205004,-4321.328765205004,46.796954462500004,114.5318107425,51512.5,47352.49999999999,40.0,71.02874999999999,35.116848000000005,13.53882834,1.545375,0.09886499999999998,EARLY EXIT: premium failed 8.1% after 155s
2026-05-25,14:08:25,14:11:29,PAPER,OK20260525140825,HALF,PE,NIFTY26MAY2623950PE,78.8,72.0,715,-4861.999999999998,171.42967957399998,-5033.429679573998,-5033.429679573998,48.971760414,122.45791915999999,56342.0,51480.0,40.0,77.22,38.2983744,14.113115352,1.69026,0.107822,EARLY EXIT: premium failed 8.6% after 184s
