timestamp,event,trade_id,mode,trade_type,signal,symbol,entry,exit,ltp,qty,pnl,gross_pnl,charges,buy_charges,sell_charges,buy_turnover,sell_turnover,net_pnl,reason,capital,daily_pnl
2026-05-19T11:43:26,ENTRY,OK20260519114326,PAPER,HALF,CE,NIFTY19MAY2623750CE,44.5,,44.5,1625,,,56.16354806250001,56.16354806250001,,72312.5,,,PAPER ENTRY,90473.51202035975,-22238.756879514996
2026-05-19T11:43:59,EXIT,OK20260519114326,PAPER,HALF,CE,NIFTY19MAY2623750CE,44.5,45.6,45.6,1625,1565.4409622375022,1787.5000000000023,222.05903776250003,56.16354806250001,165.8954897,72312.5,74100.0,1565.4409622375022,SL HIT,92038.95298259724,-20673.315917277494
2026-05-19T11:48:19,ENTRY,OK20260519114819,PAPER,FULL,CE,NIFTY19MAY2623700CE,79.5,,79.5,910,,,56.178183364999995,56.178183364999995,,72345.0,,,PAPER ENTRY,92038.95298259724,-20673.315917277494
2026-05-19T11:48:51,EXIT,OK20260519114819,PAPER,FULL,CE,NIFTY19MAY2623700CE,79.5,77.55,77.55,910,-1989.7959142135026,-1774.5000000000025,215.29591421349997,56.178183364999995,159.11773084849997,72345.0,70570.5,-1989.7959142135026,DAILY LOSS LIMIT,90049.15706838373,-22663.111831490998
2026-05-19T12:17:49,ENTRY,OK20260519121749,PAPER,HALF,PE,NIFTY19MAY2623750PE,50.4,,50.4,1430,,,56.055246824,56.055246824,,72072.0,,,PAPER ENTRY,112712.26889987475,0.0
2026-05-19T12:18:32,EXIT,OK20260519121749,PAPER,HALF,PE,NIFTY19MAY2623750PE,50.4,50.35,50.35,1430,-289.4190309824959,-71.49999999999594,217.91903098249998,56.055246824,161.86378415849998,72072.0,72000.5,-289.4190309824959,SL HIT,112422.84986889226,-289.4190309824959
2026-05-19T12:25:07,ENTRY,OK20260519122507,PAPER,HALF,PE,NIFTY19MAY2623750PE,51.15,,51.15,1430,,,56.5382118065,56.5382118065,,73144.5,,,PAPER ENTRY,112422.84986889226,-289.4190309824959
2026-05-19T12:25:51,EXIT,OK20260519122507,PAPER,HALF,PE,NIFTY19MAY2623750PE,51.15,52.75,52.75,1430,2063.007476091002,2288.000000000002,224.992523909,56.5382118065,168.4543121025,73144.5,75432.5,2063.007476091002,SL HIT,114485.85734498326,1773.5884451085062
2026-05-19T12:33:30,ENTRY,OK20260519123330,PAPER,HALF,PE,NIFTY19MAY2623750PE,49.6,,49.6,1495,,,56.991906184,56.991906184,,74152.0,,,PAPER ENTRY,114485.85734498326,1773.5884451085062
2026-05-19T12:37:07,EXIT,OK20260519123330,PAPER,HALF,PE,NIFTY19MAY2623750PE,49.6,49.05,49.05,1495,-1043.6582717147564,-822.2500000000064,221.40827171475001,56.991906184,164.41636553075,74152.0,73329.75,-1043.6582717147564,SL HIT,113442.19907326851,729.9301733937498
2026-05-19T12:48:41,ENTRY,OK20260519124841,PAPER,HALF,PE,NIFTY19MAY2623750PE,51.65,,51.65,1430,,,56.860188461499995,56.860188461499995,,73859.5,,,PAPER ENTRY,113442.19907326851,729.9301733937498
2026-05-19T12:51:35,EXIT,OK20260519124841,PAPER,HALF,PE,NIFTY19MAY2623750PE,51.65,54.1,54.1,1430,3274.478327467504,3503.500000000004,229.0216725325,56.860188461499995,172.161484071,73859.5,77363.0,3274.478327467504,SL HIT,116716.677400736,4004.4085008612537
2026-05-19T13:00:20,ENTRY,OK20260519130020,PAPER,HALF,PE,NIFTY19MAY2623750PE,52.35,,52.35,1430,,,57.3109557785,57.3109557785,,74860.5,,,PAPER ENTRY,116716.677400736,4004.4085008612537
2026-05-19T13:01:58,EXIT,OK20260519130020,PAPER,HALF,PE,NIFTY19MAY2623750PE,52.35,47.8,47.8,1430,-6718.672303996506,-6506.500000000006,212.17230399650003,57.3109557785,154.86134821800002,74860.5,68354.0,-6718.672303996506,EARLY EXIT: premium failed 8.7% after 98s,109998.00509673951,-2714.2638031352526
2026-05-19T13:15:07,ENTRY,OK20260519131507,PAPER,HALF,PE,NIFTY19MAY2623700PE,32.4,,32.4,2275,,,56.79286607,56.79286607,,73710.0,,,PAPER ENTRY,109998.00509673951,-2714.2638031352526
2026-05-19T13:15:44,EXIT,OK20260519131507,PAPER,HALF,PE,NIFTY19MAY2623700PE,32.4,28.35,28.35,2275,-9417.996111381242,-9213.749999999993,204.24611138125002,56.79286607,147.45324531125001,73710.0,64496.25,-9417.996111381242,SL HIT,100580.00898535826,-12132.259914516495
2026-05-19T13:37:18,ENTRY,OK20260519133718,PAPER,HALF,PE,NIFTY19MAY2623750PE,53.6,,53.6,1365,,,56.546992988,56.546992988,,73164.0,,,PAPER ENTRY,100580.00898535826,-12132.259914516495
2026-05-19T13:38:04,EXIT,OK20260519133718,PAPER,HALF,PE,NIFTY19MAY2623750PE,53.6,69.4,69.4,1365,21304.939457285007,21567.000000000007,262.060542715,56.546992988,205.51354972700003,73164.0,94731.00000000001,21304.939457285007,TARGET HIT,121884.94844264328,9172.679542768512
2026-05-19T13:42:59,ENTRY,OK20260519134259,PAPER,HALF,PE,NIFTY19MAY2623750PE,59.2,,59.2,1365,,,59.989216135999996,59.989216135999996,,80808.0,,,PAPER ENTRY,121884.94844264328,9172.679542768512
2026-05-19T13:45:19,EXIT,OK20260519134259,PAPER,HALF,PE,NIFTY19MAY2623750PE,59.2,64.85,64.85,1365,7458.673842944738,7712.249999999988,253.57615705525,59.989216135999996,193.58694091925,80808.0,88520.24999999999,7458.673842944738,DAILY PROFIT FLOOR,129343.62228558802,16631.35338571325
