timestamp,stage,trade_id,trade_type,signal,symbol,token,entry,ltp,nifty,qty,sl,target,peak,capital,daily_pnl
2026-05-29T09:57:05,LTP,OK20260529095654,FULL,PE,NIFTY02JUN2623850PE,57045,101.75,99.8,23891.2,585,92.5925,115.48625,101.75,94621.35612591375,0.0
2026-05-29T09:57:17,LTP,OK20260529095654,FULL,PE,NIFTY02JUN2623850PE,57045,101.75,96.9,23896.3,585,92.5925,115.48625,101.75,94621.35612591375,0.0
2026-05-29T09:57:27,LTP,OK20260529095654,FULL,PE,NIFTY02JUN2623850PE,57045,101.75,98.2,23896.25,585,92.5925,115.48625,101.75,94621.35612591375,0.0
2026-05-29T09:57:38,LTP,OK20260529095654,FULL,PE,NIFTY02JUN2623850PE,57045,101.75,95.8,23898.45,585,92.5925,115.48625,101.75,94621.35612591375,0.0
2026-05-29T09:57:49,LTP,OK20260529095654,FULL,PE,NIFTY02JUN2623850PE,57045,101.75,96.25,23901.1,585,92.5925,115.48625,101.75,94621.35612591375,0.0
2026-05-29T09:58:00,LTP,OK20260529095654,FULL,PE,NIFTY02JUN2623850PE,57045,101.75,96.7,23897.3,585,92.5925,115.48625,101.75,94621.35612591375,0.0
2026-05-29T09:58:11,LTP,OK20260529095654,FULL,PE,NIFTY02JUN2623850PE,57045,101.75,98.0,23896.4,585,92.5925,115.48625,101.75,94621.35612591375,0.0
2026-05-29T09:58:22,LTP,OK20260529095654,FULL,PE,NIFTY02JUN2623850PE,57045,101.75,97.6,23900.35,585,92.5925,115.48625,101.75,94621.35612591375,0.0
2026-05-29T09:58:32,LTP,OK20260529095654,FULL,PE,NIFTY02JUN2623850PE,57045,101.75,98.2,23896.95,585,92.5925,115.48625,101.75,94621.35612591375,0.0
2026-05-29T09:58:43,LTP,OK20260529095654,FULL,PE,NIFTY02JUN2623850PE,57045,101.75,98.95,23894.5,585,92.5925,115.48625,101.75,94621.35612591375,0.0
2026-05-29T09:58:54,LTP,OK20260529095654,FULL,PE,NIFTY02JUN2623850PE,57045,101.75,99.2,23896.4,585,92.5925,115.48625,101.75,94621.35612591375,0.0
2026-05-29T09:59:07,LTP,OK20260529095654,FULL,PE,NIFTY02JUN2623850PE,57045,101.75,96.85,23901.05,585,92.5925,115.48625,101.75,94621.35612591375,0.0
2026-05-29T09:59:18,LTP,OK20260529095654,FULL,PE,NIFTY02JUN2623850PE,57045,101.75,95.2,23901.65,585,92.5925,115.48625,101.75,94621.35612591375,0.0
2026-05-29T09:59:29,LTP,OK20260529095654,FULL,PE,NIFTY02JUN2623850PE,57045,101.75,95.2,23902.15,585,92.5925,115.48625,101.75,94621.35612591375,0.0
2026-05-29T09:59:40,LTP,OK20260529095654,FULL,PE,NIFTY02JUN2623850PE,57045,101.75,96.5,23901.65,585,92.5925,115.48625,101.75,94621.35612591375,0.0
2026-05-29T09:59:51,LTP,OK20260529095654,FULL,PE,NIFTY02JUN2623850PE,57045,101.75,95.25,23902.8,585,92.5925,115.48625,101.75,94621.35612591375,0.0
2026-05-29T10:51:31,LTP,OK20260529105120,FULL,PE,NIFTY02JUN2623850PE,57045,92.1,92.1,23891.25,650,83.81099999999999,104.53349999999999,92.1,88331.5364782565,-6289.819647657252
2026-05-29T10:51:42,LTP,OK20260529105120,FULL,PE,NIFTY02JUN2623850PE,57045,92.1,92.6,23890.8,650,83.81099999999999,104.53349999999999,92.1,88331.5364782565,-6289.819647657252
2026-05-29T10:51:53,LTP,OK20260529105120,FULL,PE,NIFTY02JUN2623850PE,57045,92.1,93.4,23888.9,650,83.81099999999999,104.53349999999999,92.1,88331.5364782565,-6289.819647657252
2026-05-29T10:52:05,LTP,OK20260529105120,FULL,PE,NIFTY02JUN2623850PE,57045,92.1,93.25,23888.0,650,83.81099999999999,104.53349999999999,92.1,88331.5364782565,-6289.819647657252
2026-05-29T10:52:16,LTP,OK20260529105120,FULL,PE,NIFTY02JUN2623850PE,57045,92.1,93.45,23886.8,650,83.81099999999999,104.53349999999999,92.1,88331.5364782565,-6289.819647657252
2026-05-29T10:52:26,LTP,OK20260529105120,FULL,PE,NIFTY02JUN2623850PE,57045,92.1,92.7,23886.5,650,83.81099999999999,104.53349999999999,92.1,88331.5364782565,-6289.819647657252
2026-05-29T10:52:37,LTP,OK20260529105120,FULL,PE,NIFTY02JUN2623850PE,57045,92.1,91.55,23889.1,650,83.81099999999999,104.53349999999999,92.1,88331.5364782565,-6289.819647657252
2026-05-29T10:52:48,LTP,OK20260529105120,FULL,PE,NIFTY02JUN2623850PE,57045,92.1,93.3,23889.4,650,83.81099999999999,104.53349999999999,92.1,88331.5364782565,-6289.819647657252
2026-05-29T10:52:59,LTP,OK20260529105120,FULL,PE,NIFTY02JUN2623850PE,57045,92.1,93.15,23888.95,650,83.81099999999999,104.53349999999999,92.1,88331.5364782565,-6289.819647657252
2026-05-29T10:53:10,LTP,OK20260529105120,FULL,PE,NIFTY02JUN2623850PE,57045,92.1,93.8,23889.65,650,83.81099999999999,104.53349999999999,92.1,88331.5364782565,-6289.819647657252
2026-05-29T10:53:20,LTP,OK20260529105120,FULL,PE,NIFTY02JUN2623850PE,57045,92.1,92.05,23890.7,650,83.81099999999999,104.53349999999999,92.1,88331.5364782565,-6289.819647657252
2026-05-29T10:53:31,LTP,OK20260529105120,FULL,PE,NIFTY02JUN2623850PE,57045,92.1,93.9,23888.3,650,83.81099999999999,104.53349999999999,92.1,88331.5364782565,-6289.819647657252
2026-05-29T10:53:42,LTP,OK20260529105120,FULL,PE,NIFTY02JUN2623850PE,57045,92.1,96.2,23883.6,650,83.81099999999999,104.53349999999999,92.1,88331.5364782565,-6289.819647657252
2026-05-29T10:53:53,LTP,OK20260529105120,FULL,PE,NIFTY02JUN2623850PE,57045,92.1,98.3,23881.4,650,83.81099999999999,104.53349999999999,92.1,88331.5364782565,-6289.819647657252
2026-05-29T10:54:03,LTP,OK20260529105120,FULL,PE,NIFTY02JUN2623850PE,57045,92.1,98.0,23880.5,650,97.00785674141538,104.53349999999999,92.1,88331.5364782565,-6289.819647657252
2026-05-29T10:54:14,LTP,OK20260529105120,FULL,PE,NIFTY02JUN2623850PE,57045,92.1,97.15,23879.45,650,97.00785674141538,104.53349999999999,92.1,88331.5364782565,-6289.819647657252
2026-05-29T10:54:25,LTP,OK20260529105120,FULL,PE,NIFTY02JUN2623850PE,57045,92.1,94.0,23883.75,650,97.00785674141538,104.53349999999999,92.1,88331.5364782565,-6289.819647657252
2026-05-29T11:28:32,LTP,OK20260529112822,FULL,PE,NIFTY02JUN2623850PE,57045,86.8,85.75,23896.25,715,78.988,98.518,86.8,89375.04688235151,-5246.309243562248
2026-05-29T11:28:43,LTP,OK20260529112822,FULL,PE,NIFTY02JUN2623850PE,57045,86.8,87.55,23896.15,715,78.988,98.518,86.8,89375.04688235151,-5246.309243562248
2026-05-29T11:28:54,LTP,OK20260529112822,FULL,PE,NIFTY02JUN2623850PE,57045,86.8,87.6,23895.9,715,78.988,98.518,86.8,89375.04688235151,-5246.309243562248
