timestamp,event,trade_id,mode,trade_type,signal,symbol,entry,exit,ltp,qty,pnl,gross_pnl,charges,buy_charges,sell_charges,buy_turnover,sell_turnover,net_pnl,reason,capital,daily_pnl,live_order_id,live_exit_order_id
2026-06-03T09:55:55,ENTRY,OK20260603095555,PAPER,FULL,PE,NIFTY30JUN2623200PE,344.95,,344.95,195,,,53.89068558425,53.89068558425,,67265.25,,,PAPER ENTRY,134235.2945227711,0.0,,
2026-06-03T10:21:10,EXIT,OK20260603095555,PAPER,FULL,PE,NIFTY30JUN2623200PE,344.95,329.0,329.0,195,-3310.9386227192476,-3110.2499999999977,200.68862271925002,53.89068558425,146.797937135,67265.25,64155.0,-3310.9386227192476,REVERSAL EXIT: PE confirmed 3 green candles + VWAP loss,130924.35590005184,-3310.9386227192476,,
2026-06-03T11:01:07,ENTRY,OK20260603110107,PAPER,FULL,PE,NIFTY30JUN2623200PE,355.0,,355.0,195,,,54.773194325,54.773194325,,69225.0,,,PAPER ENTRY,130924.35590005184,-3310.9386227192476,,
2026-06-03T12:26:37,EXIT,OK20260603110107,PAPER,FULL,PE,NIFTY30JUN2623200PE,355.0,359.7036219067013,355.15,195,704.1378063604966,917.2062718067536,213.0684654462571,54.773194325,158.29527112125712,69225.0,70142.20627180676,704.1378063604966,SL HIT,131628.49370641235,-2606.800816358751,,
