timestamp,event,trade_id,mode,trade_type,signal,symbol,entry,exit,ltp,qty,pnl,gross_pnl,charges,buy_charges,sell_charges,buy_turnover,sell_turnover,net_pnl,reason,capital,daily_pnl,live_order_id,live_exit_order_id
2026-06-01T11:35:06,ENTRY,OK20260601113506,PAPER,FULL,PE,NIFTY02JUN2623500PE,67.85,,67.85,910,,,51.40414768949999,51.40414768949999,,61743.49999999999,,,PAPER ENTRY,93536.1199845755,0.0,,
2026-06-01T11:38:11,EXIT,OK20260601113506,PAPER,FULL,PE,NIFTY02JUN2623500PE,67.85,61.7435,60.0,910,-5739.8152020369425,-5556.914999999997,182.90020203694496,51.40414768949999,131.49605434744498,61743.49999999999,56186.585,-5739.8152020369425,SL HIT,87796.30478253856,-5739.8152020369425,,
2026-06-01T11:57:50,ENTRY,OK20260601115750,PAPER,FULL,PE,NIFTY02JUN2623500PE,72.7,,72.7,845,,,51.263648785499996,51.263648785499996,,61431.5,,,PAPER ENTRY,87796.30478253856,-5739.8152020369425,,
2026-06-01T11:59:07,RUNNER_TARGET_HOLD,OK20260601115750,PAPER,FULL,PE,NIFTY02JUN2623500PE,72.7,,88.3,845,,,,,,,,,RUNNER TARGET HOLD,87796.30478253856,-5739.8152020369425,,
2026-06-01T12:00:23,EXIT,OK20260601115750,PAPER,FULL,PE,NIFTY02JUN2623500PE,72.7,87.107,86.7,845,11957.705621497942,12173.914999999997,216.20937850205502,51.263648785499996,164.945729716555,61431.5,73605.415,11957.705621497942,SL HIT,99754.0104040365,6217.8904194609995,,
2026-06-01T12:00:48,ENTRY,OK20260601120048,PAPER,FULL,PE,NIFTY02JUN2623450PE,72.15,,72.15,910,,,53.166238110500004,53.166238110500004,,65656.5,,,PAPER ENTRY,99754.0104040365,6217.8904194609995,,
2026-06-01T12:06:42,EXIT,OK20260601120048,PAPER,FULL,PE,NIFTY02JUN2623450PE,72.15,65.65650000000001,62.35,910,-6100.585214841052,-5909.084999999997,191.50021484105503,53.166238110500004,138.333976730555,65656.5,59747.41500000001,-6100.585214841052,SL HIT,93653.42518919545,117.30520461994729,,
2026-06-01T14:07:49,ENTRY,OK20260601140749,PAPER,FULL,PE,NIFTY02JUN2623400PE,68.7,,68.7,845,,,49.7415773255,49.7415773255,,58051.5,,,PAPER ENTRY,93653.42518919545,117.30520461994729,,
2026-06-01T14:18:03,RUNNER_TARGET_HOLD,OK20260601140749,PAPER,FULL,PE,NIFTY02JUN2623400PE,68.7,,78.65,845,,,,,,,,,RUNNER TARGET HOLD,93653.42518919545,117.30520461994729,,
2026-06-01T14:32:42,EXIT,OK20260601140749,PAPER,FULL,PE,NIFTY02JUN2623400PE,68.7,83.9,83.9,845,12634.516588801001,12844.000000000002,209.48341119900002,49.7415773255,159.7418338735,58051.5,70895.5,12634.516588801001,DAILY PROFIT FLOOR,106287.94177799646,12751.82179342095,,
2026-06-01T14:51:51,ENTRY,OK20260601145151,PAPER,FULL,PE,NIFTY02JUN2623350PE,58.85,,58.85,1170,,,54.6063518765,54.6063518765,,68854.5,,,PAPER ENTRY,106287.94177799646,12751.82179342095,,
2026-06-01T14:53:27,EXIT,OK20260601145151,PAPER,FULL,PE,NIFTY02JUN2623350PE,58.85,63.75,63.75,1170,5511.562003885998,5732.999999999998,221.43799611400004,54.6063518765,166.83164423750003,68854.5,74587.5,5511.562003885998,DAILY PROFIT FLOOR,111799.50378188245,18263.383797306946,,
2026-06-01T14:57:47,ENTRY,OK20260601145747,PAPER,FULL,PE,NIFTY02JUN2623350PE,60.15,,60.15,1235,,,57.05191092425001,57.05191092425001,,74285.25,,,PAPER ENTRY,111799.50378188245,18263.383797306946,,
2026-06-01T14:58:53,EXIT,OK20260601145747,PAPER,FULL,PE,NIFTY02JUN2623350PE,60.15,63.25,63.25,1235,3597.8449270170017,3828.500000000002,230.65507298300003,57.05191092425001,173.60316205875,74285.25,78113.75,3597.8449270170017,DAILY PROFIT FLOOR,115397.34870889944,21861.228724323948,,
