date,time,exit_time,mode,trade_id,type,signal,symbol,entry,exit,qty,gross_pnl,charges,net_pnl,pnl,buy_charges,sell_charges,buy_turnover,sell_turnover,brokerage,stt,transaction,gst,stamp,sebi,reason
2026-06-08,09:57:12,10:00:51,LIVE,OK20260608095712,FULL,CE,NIFTY09JUN2623200CE,125.15,124.55,65,-39.000000000000554,66.4096225685,-105.40962256850055,-105.40962256850055,27.263216215750003,39.14640635275,8134.75,8095.75,40.0,12.143625,5.765073600000001,8.240634738,0.2440425,0.0162305,SL HIT
2026-06-08,10:33:27,10:42:19,LIVE,OK20260608103327,FULL,CE,NIFTY09JUN2623250CE,105.6,107.0,65,91.00000000000037,63.646780623,27.35321937700037,27.35321937700037,26.690975887999997,36.955804735,6864.0,6955.0,40.0,10.432500000000001,4.9085088,8.086019004,0.20592,0.013818999999999998,SL HIT
2026-06-08,12:20:43,12:53:34,LIVE,OK20260608122043,FULL,CE,NIFTY09JUN2623250CE,104.6,124.1,65,1267.5,65.7519423635,1201.7480576365,1201.7480576365,26.661705283000003,39.0902370805,6799.0,8066.5,40.0,12.09975,5.2802256,8.153116398,0.20397,0.014865499999999999,SL HIT
