date,time,exit_time,mode,trade_id,type,signal,symbol,entry,exit,qty,gross_pnl,charges,net_pnl,pnl,buy_charges,sell_charges,buy_turnover,sell_turnover,brokerage,stt,transaction,gst,stamp,sebi,reason
2026-05-14,09:42:15,09:44:39,PAPER,OK20260514094215,FULL,PE,NIFTY19MAY2623500PE,183.4,193.05,260,2509.0000000000014,165.059387009,2343.940612991001,2343.940612991001,45.072915828000006,119.986471181,47684.0,50193.0,40.0,75.2895,34.765910399999996,13.475481731999999,1.43052,0.09787699999999999,SL HIT
2026-05-14,09:50:19,09:57:43,PAPER,OK20260514095019,FULL,PE,NIFTY19MAY2623450PE,171.65,180.8,260,2379.0000000000014,157.567458929,2221.432541071001,2221.432541071001,43.697197392999996,113.870261536,44629.0,47008.0,40.0,70.512,32.5494624,13.075397891999998,1.33887,0.091637,SL HIT
2026-05-14,10:06:08,10:35:05,PAPER,OK20260514100608,FULL,PE,NIFTY19MAY2623500PE,201.2,171.25,260,-7786.999999999997,156.25909732899999,-7943.259097328997,-7943.259097328997,47.156982904,109.102114425,52312.0,44525.0,40.0,66.7875,34.3965024,13.408801092000001,1.56936,0.09683699999999999,REVERSAL EXIT: PE confirmed Supertrend flip + ORB fail + EMA21 loss
2026-05-14,10:47:57,10:50:41,PAPER,OK20260514104757,FULL,PE,NIFTY19MAY2623450PE,183.9,192.55,195,1686.7500000000011,135.45121525675,1551.2987847432512,1551.2987847432512,39.74859277849999,95.70262247825,35860.5,37547.25,40.0,56.320875,26.074432800000004,11.906611298999998,1.075815,0.07340775,SL HIT
2026-05-14,10:58:12,11:20:05,PAPER,OK20260514105812,FULL,PE,NIFTY19MAY2623400PE,173.5,140.4,260,-8605.999999999998,137.613051638,-8743.613051637998,-8743.613051637998,43.91379987,93.69925176800001,45110.0,36504.0,40.0,54.756,28.9892928,12.432763224,1.3533,0.08161399999999999,DAILY LOSS LIMIT
2026-05-14,13:38:54,13:52:31,PAPER,OK20260514133854,FULL,CE,NIFTY19MAY2623800CE,172.45,157.85,130,-1897.9999999999993,96.701296663,-1994.7012966629993,-1994.7012966629993,33.6954316645,63.0058649985,22418.5,20520.5,40.0,30.78075,15.251932800000002,9.953076924000001,0.672555,0.042939,EARLY EXIT: premium failed 8.5% after 816s
2026-05-14,14:20:07,14:25:45,PAPER,OK20260514142007,HALF,PE,NIFTY19MAY2623700PE,167.0,153.15,130,-1800.4999999999993,95.2089333815,-1895.7089333814993,-1895.7089333814993,33.37638207,61.8325513115,21710.0,19909.5,40.0,29.864250000000002,14.7832464,9.868475862,0.6513,0.041619500000000004,EARLY EXIT: premium failed 8.3% after 338s
