timestamp,event,trade_id,mode,trade_type,signal,symbol,entry,exit,ltp,qty,pnl,gross_pnl,charges,buy_charges,sell_charges,buy_turnover,sell_turnover,net_pnl,reason,capital,daily_pnl
2026-05-14T09:42:16,ENTRY,OK20260514094215,PAPER,FULL,PE,NIFTY19MAY2623500PE,183.4,,183.4,260,,,45.072915828000006,45.072915828000006,,47684.0,,,PAPER ENTRY,50000.0,0
2026-05-14T09:44:39,EXIT,OK20260514094215,PAPER,FULL,PE,NIFTY19MAY2623500PE,183.4,193.05,193.05,260,2343.940612991001,2509.0000000000014,165.059387009,45.072915828000006,119.986471181,47684.0,50193.0,2343.940612991001,SL HIT,52343.940612991,2343.940612991001
2026-05-14T09:50:20,ENTRY,OK20260514095019,PAPER,FULL,PE,NIFTY19MAY2623450PE,171.65,,171.65,260,,,43.697197392999996,43.697197392999996,,44629.0,,,PAPER ENTRY,52343.940612991,2343.940612991001
2026-05-14T09:57:43,EXIT,OK20260514095019,PAPER,FULL,PE,NIFTY19MAY2623450PE,171.65,180.8,180.8,260,2221.432541071001,2379.0000000000014,157.567458929,43.697197392999996,113.870261536,44629.0,47008.0,2221.432541071001,SL HIT,54565.373154062,4565.373154062003
2026-05-14T10:06:09,ENTRY,OK20260514100608,PAPER,FULL,PE,NIFTY19MAY2623500PE,201.2,,201.2,260,,,47.156982904,47.156982904,,52312.0,,,PAPER ENTRY,54565.373154062,4565.373154062003
2026-05-14T10:35:05,EXIT,OK20260514100608,PAPER,FULL,PE,NIFTY19MAY2623500PE,201.2,171.25,171.25,260,-7943.259097328997,-7786.999999999997,156.25909732899999,47.156982904,109.102114425,52312.0,44525.0,-7943.259097328997,REVERSAL EXIT: PE confirmed Supertrend flip + ORB fail + EMA21 loss,46622.114056733,-3377.885943266994
2026-05-14T10:47:58,ENTRY,OK20260514104757,PAPER,FULL,PE,NIFTY19MAY2623450PE,183.9,,183.9,195,,,39.74859277849999,39.74859277849999,,35860.5,,,PAPER ENTRY,46622.114056733,-3377.885943266994
2026-05-14T10:50:41,EXIT,OK20260514104757,PAPER,FULL,PE,NIFTY19MAY2623450PE,183.9,192.55,192.55,195,1551.2987847432512,1686.7500000000011,135.45121525675,39.74859277849999,95.70262247825,35860.5,37547.25,1551.2987847432512,SL HIT,48173.41284147625,-1826.587158523743
2026-05-14T10:58:13,ENTRY,OK20260514105812,PAPER,FULL,PE,NIFTY19MAY2623400PE,173.5,,173.5,260,,,43.91379987,43.91379987,,45110.0,,,PAPER ENTRY,48173.41284147625,-1826.587158523743
2026-05-14T11:20:05,EXIT,OK20260514105812,PAPER,FULL,PE,NIFTY19MAY2623400PE,173.5,140.4,140.4,260,-8743.613051637998,-8605.999999999998,137.613051638,43.91379987,93.69925176800001,45110.0,36504.0,-8743.613051637998,DAILY LOSS LIMIT,39429.79978983825,-10570.200210161742
2026-05-14T13:38:55,ENTRY,OK20260514133854,PAPER,FULL,CE,NIFTY19MAY2623800CE,172.45,,172.45,130,,,33.6954316645,33.6954316645,,22418.5,,,PAPER ENTRY,50000.0,0.0
2026-05-14T13:52:31,EXIT,OK20260514133854,PAPER,FULL,CE,NIFTY19MAY2623800CE,172.45,157.85,157.85,130,-1994.7012966629993,-1897.9999999999993,96.701296663,33.6954316645,63.0058649985,22418.5,20520.5,-1994.7012966629993,EARLY EXIT: premium failed 8.5% after 816s,48005.298703337,-1994.7012966629993
2026-05-14T14:20:08,ENTRY,OK20260514142007,PAPER,HALF,PE,NIFTY19MAY2623700PE,167.0,,167.0,130,,,33.37638207,33.37638207,,21710.0,,,PAPER ENTRY,48005.298703337,-1994.7012966629993
2026-05-14T14:25:45,EXIT,OK20260514142007,PAPER,HALF,PE,NIFTY19MAY2623700PE,167.0,153.15,153.15,130,-1895.7089333814993,-1800.4999999999993,95.2089333815,33.37638207,61.8325513115,21710.0,19909.5,-1895.7089333814993,EARLY EXIT: premium failed 8.3% after 338s,46109.5897699555,-3890.4102300444983
