date,time,exit_time,mode,trade_id,type,signal,symbol,entry,exit,qty,gross_pnl,charges,net_pnl,pnl,brokerage,stt,transaction,gst,stamp,sebi,reason
2026-05-12,12:45:13,12:49:03,PAPER,OK20260512124513,FULL,PE,NIFTY12MAY2623500PE,30.35,29.1,1625,-2031.25,160.21606168125,-2191.46606168125,-2191.46606168125,0,0,0,13.394006324999998,0,0,SL HIT
2026-05-12,12:54:28,13:04:04,PAPER,OK20260512125428,FULL,PE,NIFTY12MAY2623550PE,55.3,45.6,845,-8196.499999999996,142.23629257849998,-8338.736292578496,-8338.736292578496,0,0,0,12.666562218,0,0,DAILY LOSS LIMIT
2026-05-12,13:16:04,13:19:05,PAPER,OK20260512131604,FULL,CE,NIFTY12MAY2623550CE,45.15,45.95,1105,884.0000000000047,167.1702684635,716.8297315365046,716.8297315365046,0,0,0,13.654269198000001,0,0,SL HIT
2026-05-12,13:41:28,13:48:17,PAPER,OK20260512134128,FULL,PE,NIFTY12MAY2623500PE,30.05,22.85,1625,-11699.999999999998,140.49331261249998,-11840.493312612498,-11840.493312612498,0,0,0,12.71157165,0,0,SL HIT
2026-05-12,14:02:05,14:08:57,PAPER,OK20260512140205,FULL,PE,NIFTY12MAY2623550PE,71.55,86.15,650,9490.000000000005,175.67606908500002,9314.323930915005,9314.323930915005,0,0,0,13.772210580000003,0,0,TARGET HIT
2026-05-12,14:19:49,14:20:12,PAPER,OK20260512141949,FULL,PE,NIFTY12MAY2623500PE,44.5,43.3,1300,-1560.0000000000036,181.34548238,-1741.3454823800037,-1741.3454823800037,0,0,0,14.51820024,0,0,DAILY PROFIT FLOOR
