timestamp,event,trade_id,mode,trade_type,signal,symbol,entry,exit,ltp,qty,pnl,gross_pnl,charges,net_pnl,reason,capital,daily_pnl
2026-05-08T10:14:41,ENTRY,OK20260508101440,PAPER,HALF,CE,NIFTY12MAY2624250CE,155.0,,155.0,130,,,,,PAPER ENTRY,50000.0,0.0
2026-05-08T10:51:17,EXIT,OK20260508101440,PAPER,HALF,CE,NIFTY12MAY2624250CE,155.0,153.45,153.45,130,-296.08000000000146,-201.50000000000148,94.58,-296.08000000000146,SL HIT,49703.92,-296.08000000000146
2026-05-08T11:23:27,ENTRY,OK20260508112325,PAPER,HALF,PE,NIFTY12MAY2624200PE,150.7,,150.7,130,,,,,PAPER ENTRY,49703.92,-296.08000000000146
2026-05-08T12:20:47,EXIT,OK20260508112325,PAPER,HALF,PE,NIFTY12MAY2624200PE,150.7,150.05,150.05,130,-177.97999999999706,-84.49999999999704,93.48,-177.97999999999706,SL HIT,49525.94,-474.0599999999985
2026-05-08T12:44:17,ENTRY,OK20260508124416,PAPER,HALF,PE,NIFTY12MAY2624150PE,141.7,,141.7,130,,,,,PAPER ENTRY,49525.94,-474.0599999999985
2026-05-08T12:50:14,EXIT,OK20260508124416,PAPER,HALF,PE,NIFTY12MAY2624150PE,141.7,140.2,140.2,130,-285.49,-195.0,90.49,-285.49,SL HIT,49240.450000000004,-759.5499999999986
2026-05-08T13:28:53,ENTRY,OK20260508132852,PAPER,HALF,CE,NIFTY12MAY2624200CE,164.05,,164.05,130,,,,,PAPER ENTRY,49240.450000000004,-759.5499999999986
2026-05-08T13:39:07,EXIT,OK20260508132852,PAPER,HALF,CE,NIFTY12MAY2624200CE,164.05,150.25,150.25,130,-1888.3100000000013,-1794.0000000000014,94.31,-1888.3100000000013,REVERSAL EXIT: CE confirmed Supertrend flip + ORB fail + EMA21 loss,47352.14,-2647.8599999999997
2026-05-08T13:51:04,ENTRY,OK20260508135101,PAPER,HALF,PE,NIFTY12MAY2624150PE,138.05,,138.05,130,,,,,PAPER ENTRY,47352.14,-2647.8599999999997
2026-05-08T14:05:29,EXIT,OK20260508135101,PAPER,HALF,PE,NIFTY12MAY2624150PE,138.05,144.9,144.9,130,799.0499999999993,890.4999999999993,91.45,799.0499999999993,SL HIT,48151.19,-1848.8100000000004
2026-05-08T14:31:36,ENTRY,OK20260508143135,PAPER,HALF,CE,NIFTY12MAY2624200CE,152.35,,152.35,130,,,,,PAPER ENTRY,48151.19,-1848.8100000000004
2026-05-08T14:40:47,EXIT,OK20260508143135,PAPER,HALF,CE,NIFTY12MAY2624200CE,152.35,189.6,189.6,130,4739.05,4842.5,103.45,4739.05,TARGET HIT,52890.240000000005,2890.24
